Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
alat bunyi- bunyian penghalau burung (binatang),rangrung,raGruG,Noun,amang mambahen rangrung i juma nami ayah membuat penghalau burung di ladang kami
alat memangku,pangampu,,,
alat menangkap ikan / burung,dopir,,,
alat menjaga burung di ladang yang,hatarpok,hatarpOk,Noun,
alat menyadap,agadi,agadi,Noun,mambahen agadi si tukang bosi si tukang besi membuat alat untuk menyadap
alat menyiang,kiskis,,,
alat menyiang rumput dipermukaan tanah yang terbuat dari besi dgn bentuk setengah lingkaran dan bergagang,kiskis,kiskis,Noun,
alat musik tiup udara bebas,sangkaluat,sakkaluwat,Noun,
alat pemintal,parbatu,,,
alat pemintal,uli,,,
alat pemintal benang buat lobei parbatu! ambil dulu alat pemintal benang!,parbatu,parbatu,Noun,
alat penghisap rokok (candu),bulugarung,bulugaruG,Noun,
alat pengikat,ihat,ihat,Noun,ihat ni uhur pengikat hati
alat pengipas,hipaskipas,hipaskipas,Noun,buat hipaskipas ai! ambil alat pengipas itu!
alat penutup,langkop,,,
alat penutup wadah; tutup,langkop,lakkOp,Noun,maseda langkup ni hudon nami udah rusak tutup periuk kami;
alat perangkap,pinggil,piGgil,Noun,
alat tiup untuk,dongkut,,,
alat tiup untuk memanggil rusa saat berburu,dongkut,dOkkut,Noun,ipahata do dongkut anggo laho marburu dibunyikan dongkut kalau hendak berburu;  dongkut
alat tulis yang,suligi,,,
alat tulis yang terbuat dari lidi ijuk yang di- runcingkan ujungnya seperti pena (pada suku Batak dahulu ini dipakai untuk menulis di kulit-kulit kayu),suligi,suligi,Noun,
alat untuk bertenun,sabang,sabaG,Noun,
alat untuk me- nangkap ikan atau burung,dopir,dOpir,Noun,
alat untuk meme,tubar,,,
alat untuk meme- rahkan benang,tubar,tubar,Noun,
alat untuk mencampur sirih,podalayam,pOdalayam,Noun,
alat untuk menggendong,parombah ,,,
alat untuk mengorek,girik,,,
alat untuk mengorek kuping,girik,giri?,Noun,
alat untuk mengusir gelatik,hotor,hOtOr,Noun,ia mambuat hotor i jumani dia membuat  alat untuk mengusir burung gelatik di ladangnya
alat yang,hapkap,,,
alat yang digunakan untuk menyayat,panayat ,,,
alat yang dipakai,tuldak,,,
alat yang dipakai dalam pertenunan,tuldak,tuldak,Noun,
"alat yang dipakai untuk mengusir burung di ladang, terbuat dari sepotong bambudibelah-belah, kemudian ditarik-tarik dengan tali hingga menimbulkan bunyi",hapkap,hapkap,Noun,
alat yang dipergunakan untuk membuang akar-akar pada ladang yang baru dibuka,dagil,dagil,Noun,
algojo,halak na gogoh ,,,
alim,malim,malim,Adjective,1 ulama;
alir,alir,aliri,Verb,
alirkan,aliri  ,,,
alis,salibon,salibOn,Noun,
Allah,naibata,naibata,Noun,Tuhan; ; - kan;
alu,andalu,addalu,Noun,andalu ai ibahen humbani hayu alu itu dibuat dari kayu
amat,ipong,,,
amat,tomos,tomOs,Adverb,sangat; parah: na boritni tomos tumang penyakitnya sangat parah
amat,tumang,tumaG,Adverb,sangat; terlalu: borit tumang huahap na so marnadong on sangat sakit kurasa karena ketiadaan uang
amat lama,lenger,lEGEr,Adjective,
amat tinggi,libos,libOs,Adjective,hayu ai libos kayu itu amat tinggi
ambil,abis,abis,Verb,
ambil,alop,alOp,Verb,salah alop
ambil,angkat,akkat,Verb,
ambil,angkit,akkit,Verb,angkit  hayu ai ambil kayu itu
ambil,buat,buwat,Raya,buat jolo gadung bulung bangku ambil dulu daun ubi untukku;
ambil,poluk,pOlu?,Verb,poluk golang hu bagas lubang ambil gelang itu dari dalam lubang
ambil,putei,putey,Verb,petik : mamutei bulung gadung inang i juma  ibu memetik daun ubi di ladang : iputei inang buah ni ambotik buah pepaya dipetik ibu
ampelas,polas,,,
ampelas (kertas pasir),polas,pOlas,Noun,
ampun,ampun,ampun,Noun,"ampun lang manangko be ahu ampun bu, aku tidak mencuri lagi"
anai,habong,,,
anai,sanei,,,
anak,dakdanak,,,
anak,niombah,niOmbah,Noun,- niombah ni baru mulak hun Raya anaknya baru pulang dari Raya;
anak,ombahan,,,
anak,panogolan,,,
anak- anak,dakdanak,dakdana?,Raya,pigama dakdanakni si dea? sudah berapa anak mereka?
anak ayam,kikit,kikit,Noun,
anak bungsu,aneane,anE anE,Noun,payah do mantubuhkon aneane susah sekali melahirkan anak bungsu
anak dari abang ibu,lawei,lawey,Pronoun,
anak dari kakak,panogolan,panogolan,Pronoun,generasi kedua atau keturunan pertama dari saudara perempuan
anak hewan,bituha,,,
anak hewan berkaki empat yang baru lahir,bituha,bituha,Noun,
anak laki,anak,,,
anak laki,dalahi,,,
anak laki-laki,anak,ana?,Noun,anak ni sada do hansa anak laki- lakinya cuma satu
anak lasak,runggas,,,
anak lidah,ipit,,,
