Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
bertiduran,marsimodoman,,Verb,
bertiduran parmodom n penidur,marsimodoman ,,,
bertikam,"marsitobakan 
",,,
bertikar,maramak,,Verb,
bertikar,maramak ,,,
bertikar,marapei,,,
bertikar,marapei ,,,
bertindih,paagil ,,,
bertinju,martenju ,,,
bertiup,marsompul ,,,
bertobat,martobat,,Verb,
bertobat,martobat ,,,
bertongkat,martungkot ,,,
bertopeng topong,martoping ,,,
bertopi,martangkuluk ,,,
bertuah,mogah,mOgah,Adjective,ia tarmasuk jolma na mogah dia termasuk manusia yang bertuah
bertualang ke,iapiap,,,
bertualang ke sana ke mari,iapiap,iyapiyap,Verb,iapiap dassa ho ke sana ke mari saja engkau
bertubuh,marangkula,,Verb,
bertubuh,marangkula ,,,
bertuhan,"Tuhan  
marnaibatahon ",,,
bertuhan,marnaibata,,Verb,
bertuhan,marnaibata ,,,
bertuhan,marnaibatahon,,Verb,
bertuhan,martuhan,,Verb,
bertuhan,martuhan ,,,
bertukang,martuhang ,,,
bertukar,linsei,,,
bertukar,marlinsei,lissey,Verb,gurama ai marlinsei tintin pemuda itu bertukar cincin
bertukar,marlinsei ,,,
bertukar,martuhar,,Verb,
bertukar,martuhar ,,,
bertukar barang,marlibey ,,,
bertukar barang kol,"kokangokangan 
a 
tukar 
tukaran barang  
marokang ",,,
bertukar; ,linsei,lissey,Verb,gurama ai marlinsei tintin pemuda itu bertukar cincin
bertulang,holi ,,,
bertumba,mangkarumbak ,,,
bertumbangan,mardorob ,,,
bertumpuk,gugun,,Verb,
bertumpuk,gugun ,,,
bertunas,marsuli ,,,
bertunas,martumbor ,,,
bertunas,martunas ,,,
bertutup,martungub,,Verb,
bertutup,martungub ,,,
bertutur,martutur ,,,
beruang,gipul,,,
beruang,marduit ,,,
beruang gipo [gipO] a hemat gira → girah,gipul,gipul,Noun,
berubah,alih,alih,Verb,domma alih uhurni telah berubah hatinya;
berubah,marubah ,,,
berubah,mubah,mubah,Adjective,parlahouni mubah sonari kelakuannya berubah sekarang;
berubah menjadi,salih,,,
beruban,maruban,,Verb,
beruban,maruban ,,,
beruban,ubanon,,Verb,
beruban,ubanon ,,,
berujung,marujung,,Verb,
berujung,marujung ,,,
beruk,bodat,bOdat,Noun,ulang songon bodat parlahoumu jangan seperti beruk kelakuanmu
beruk,buran,buran,Noun,songon buran sorani seperti suara beruk
berulang,"manihiti 
",,,
berulang,martambari,,Verb,
berulang,martambari ,,,
berumah,marhajabuon,,Verb,
berumah,marjabu,,Verb,
berumah,marjabu ,,,
berumah,marrumah ,,,
berumah tangga,"marhajabuon 
",,,
berumahkan,marjabuon,,Verb,
berumahkan sajabu num serumah,marjabuon ,,,
berumpama,marumpama ,,,
berumput,marpoyon,,Verb,
berumput,marpoyon ,,,
berumur,marumur ,,,
beruntung,diatei,diatEyi,Verb,"diatei, langroh udang tikki mambuat omei beruntung, hujan tidak turun saat memotong padi"
beruntung,marlaba,,,
beruntung,marlaba ,,,
beruntung,martuah,,Verb,
beruntung,martuah ,,,
berupah,marupah,,Verb,
berupah,marupah ,,,
berurat,marurat ,,,
berusaha melepas,guas,,,
berusaha melepas- kan diri,guas,guas,Verb,
berutang,marteres,,Verb,
berutang,marteres ,,,
berwibawa,"marjombut 
",,,
berzina,marbangkis,bakkis,Verb,"mardusa	halak marbangkis orang berdosa kalau berzina"
berzina,"marbangkis 
",,,
besan,bajo,,,
besan,besan,bEsan,Noun,domma roh besan hanami besan kami sudah datang;
besan bajoh [bajOh] n bisul bajor [bajOr] a miskin,bajo,bajO,Noun,
besar,bangar,,,
besar,banggal,,,
besar,bolon,,,
besar,bongoh,bOGOh,Adjective,bongoh bitis ini besar betisnya
besar,galto,,,
besar,tahar,,,
besar (tentang lubang),tahar,tahar,Adjective,tahar do babahni begu mulut hantu besar lubangnya
besar dan tinggi,dulas,,,
besar pendek,jogoh,jOgOh,Adjective,jogoh angkulani badannya besar pendek
besar pendek,jongok,,,
besar; luas,bolon,bOlOn,Raya,bolon jabuni rumahnya besar bolong   [bOlOG]   v   cat:  domma
besi,bosi,bOsi,Noun,
besok,patar,patar,Noun,patar sogod
besok,sogod,sogOd,Noun,sogodma ihorjahon besok saja dikerjakan
beterbangan,marhabangan,,Verb,
beterbangan,marhabangan ,,,
beternak,"marpahan 
",,,
betina,boru,,,
betis,bitis,bitis,Noun,banggal bitis ni
betul,botul,bOtul,Raya,botul do balos ni jawabannya betul; ;
betul,poldut,pOldut,Adjective,poldut do parsahap ni ucapannya benar
biak,gargar,,,
biak,gompar,gOppar,Verb,
biak;  biak; berketurunan,gargar,gargar,Raya,lombuni domma manggargari lembunya sudah berkembang biak; ; ;  membiakkan
biang keringat,panas,,,
biar,age,,,
biar,agena,agEna,Particle,agena hata ni roha mu biar bagaimanapun itu kata hati mu
biar,longa,loGa,Adverb,patar mambuat longa ma huja i juma besok mengambil biarlah kita ke ladang
biar age ma au laho mi biarlah aku yang pergi,age,agE ,Particle,
biarkan,ginang,ginaG,Verb,ginang ia lahou! biarkan ia pergi!
biarkan,ginong,ginoG,Verb,
biarkan,paturut,paturut,Verb,paturut misir lobei biarkan dia pergi dahulu
biarkan saja,gelah,,,
biarkan saja; ,gelah,gElah,Raya,"polisi	manggelah		dakdanak kissah-kissah i dalan polisi membiarkan		saja	anak-anak mengebut di jalan"
biarlah,ageni,agEni,Particle,ageni saotik biarlah sedikit
biarlah,gembit,gEmbit,Particle,gembit bani ai da biarlah itu untuknya
biasa,somal,somal,Adjective,"lazim; : hasomalon		hanami	do marsiseian anggo pajumpah kebiasaan kami bertegur sapa kalau berjumpa"
biawak,lobar,lObar,Noun,lobar manjulur biawak menjalar
bibir,bibir,,,
bibit,gobgob,gObgOb,Noun,gobgob halambir ibahen loppak bibit kelapa yang muda bisa dibuat sayur
bibit,tampang,tappaG,Noun,
bibit talas,gobgoban,gObgOban,Noun,ia ma do gobgoban ni hawei sisuanon itu bibit talas yang akan ditanam
bicara,hitei,hitEy,Noun,- kan;
bidak,bidak,bidak,Noun,bidak goran ni buah catur buah catur dinamai bidak
bidik,pitak,pita?,Verb,pitak  na daoh bidik yang jauh
bidikan,enet,,,
bidikan (nyaris mengenai sasaran),enet,EnEt,Noun,
bijak,bijak,bija?,Adjective,"bijakan ma na matei asal ulang laho bani parjudi kebaikan akan mati, jangan pergi berjudi"
bijak,lisak,lisak,Adjective,manuk-manuk ai lisak tumang burung itu bi jak sekali
bijak,toal,toal,Adjective,
biji,batu,batu,Noun,batu ni untei
biji,hamata,,,
biji buah yang dapat,lunci,,,
"biji buah yang dapat dimakan, misalnya biji buah nangka, cempedak, durian, dan lain-lain",lunci,lunci,Noun,
"biji; sangkamata	num	sebiji",hamata,hamata,Noun,"sangkamata		jagul			boi mandongkon	bahat		sebiji jagung	dapat		menghasilkan banyak"
bilamana,antigau,attigaw,Particle,
bilik,bilik,bili?,Noun,adong do bilik i lopou? apakah ada bilik di warung?
bimbang,ganggu,gaGgu,Adjective,ganggu uhurhui halani parhatani bimbang hatiku ini karena perkataannya
bimbing,marsitoguan,,Verb,
bimbing,togu,togu,Verb,tuntun; ; -mem- bimbing
bimbing,"tuntun 
marsitoguan ",,,
binasa,tumpur,tuppur,Adjective,hancur; tumpur
binatang,binantang,binattaG,Noun,binantang harangan binatang hutan
binatang,binsusur,,,
binatang,bintutur,,,
binatang,hulihap,,,
binatang,pinahan,,,
binatang berkaki,murik,,,
binatang berkaki empat yang berkembang biak dengan cara melahirkan,murik,muri?,Noun,dopma murik lombu dian? sudah beranak lembu kalian?
binatang liar yang,ayam,,,
binatang liar yang dipelihara,ayam,ayam,Noun,
binatang penyengat,gocam,,,
binatang sejenis biawak,binsusur,bissusur,Noun,
binatang sejenis kangguru,bintutur,bittutur,Noun,
binatang sejenis ulat,onsit,,,
binatang sejenis ulat kecil yang memakan sayur- sayuran,onsit,Os:it,Noun,onsit mamangani bonani assimun ulat onsit memakani batang timun
binatang terikat,ortong,,,
binatang terikat yang berusaha melepaskan ikatannya,ortong,OrtOG,Noun,
bingkai,batokan,batOkan,Noun,batokan ni anduri bingkai tampah
bingkai,bingke,bikkE,Noun,
bingkai,dohot,dOhOt,Noun,dohot ni anduri bingkai
bintang,bintang,bittaG,Noun,maribu-ribu bintang na i langit beribu-ribu bintang di langit; 
bintik,huridi,,,
bintik,ronggot,rOGgOt,Noun,: hiou na marronggot aima ajanghu
bintik putih yang,palou,,,
bintik putih yang tumbuh di mata dan menye- babkan mata kabur atau buta,palou,palOw,Noun,
bintik-bintik (warna ayam),huridi,huridi,Noun,biasani dayok boru-boru huridi do bahatan rupani ayam betina biasanya kebanyakan berwarna bintik- bintik
biru,honda,hOnda,Noun,bajuni honda rupani bajunya ber- warna biru
bisa,bisa,,,
bisa,boi,,,
bisa (racun),bisa,bisa,Noun,domma matei bisa ni ulog bisa ularnya sudah mati
bisa melihat sesuatu yang gaib,parnidahan ,,,
bisik,husip,husip,Verb,
bising,biting,bitiG,Adjective,biting tumang songon baliang na darangon bising sekali seperti anak anjing sedang bermain- main
bising,gebeg,gEbEg,Adjective,suarani mobil ai gebeg halani seng dong saringanni mobil itu bising karena tidak ada saringannya;
bisu,longah,lOGah,Adjective,
bisul,bajoh,,,
bisul,bayoh,bayOh,Noun,
bocor,gajar,gajar,Verb,bah i bagas kaleng gajar bois hudarat air di dalam kaleng bocor habis keluar
bocor,luas,luwas,Adjective,tayub rumah nami luas atap rumah kami bocor
bocor,tiris,tiris,Adjective,ulang mambuat aek pakon ember na tiris! jangan mengambil air dengan ember yang bocor!
bodoh,balugup,balugup,Adjective,
bodoh,begong,,,
bodoh,bonggam,bOggam,Adjective,
bodoh,jijing,jijiG,Adjective,halak na jijing huja pe lang tarboan
bodoh,jojong,jOjOG,Toba,dungu
bodoh,lontong,lontoG,Adjective,dungu
bodoh,oto,OtO,Adjective,"oto aha pelang ibotoh bodoh, apapun tidak tahu;"
bodoh: aras ni uhur bodoh,aras,aras,Adjective,
boikot,hampas,,,
boikot; ,hampas,happas,Verb,halani aha ihampas ia? apa sebab dia diboikot?
bola,bola,bOla,Noun,
bolak,didas,,,
bolak-balik,didas,didas,Verb,
boleh,malo,,,
boleh; diizinkan; tidak dilarang,malo,malO,Adverb,anggo malo mulak au sonari kalau boleh aku pulang sekarang
"boleh;	di- benarkan",bulih,bulih,Adverb,lang bulih songon parlahou mi kau tidak boleh berkelakuan seperti itu; ; 
bongkahan,galmok,,,
bongkahan tanah yg bulat,galmok,galmO?,Noun,
bongkar,bungkar,bukkar,Noun,bungkar hayu halani udan marambolas terbongkar kayu karena hujan deras
bongkar,rongkat,rOk:at,Verb,": parngan i jabu hanami, i rongkat tuhang alat rumah kami dibongkar tukang"
bongkar,sungkei,sukkey,Verb,: manungkei aili do gadung nami nabodari babi hutan mem- bongkar ubi kami tadi malam; 
bopeng,turik,turik,Noun,burik;  bopeng; bekas campak
bor,pungkor,puk:Or,Noun,
borgol,gari,gari,Noun,
boros,loyar,lOyar,Adjective,
boros,sayak,sayak,Adjective,
boros,ular,ular,Adjective,ular do duit anggo i tiga uang boros kalau pergi ke pekan
bosan,haor,haOr,Adjective,domma haor ahu paima hanima aku sudah bosan menunggu kalian
bosan,jolak,,,
bosan,losog,lOsOg,Adjective,ulang ura tu losog marlajar! janganlah mudah bosan belajar!
bosan,sobal,sobal,Adjective,sobal do anggo ai dassa torus bosan kita kalau begitu-begitu terus;  bosan
bosan,sopal,sopal,Adjective,"ulang ho i jon, sopal ahu manonggor bohimu! jangan kau di sini, bosan aku melihat mukamu! "
bosan mendengar,ngimngir,GimGir,Adjective,ngimngir au manangar hatamu bosan aku mendengar kata-katamu
botol,botol,bOtOl,Noun,sada botol minak lampu satu botol minyak lampu (minyak tanah)
buah,bangkudu,,,
buah,bogar,,,
buah,boras,,,
buah,buah,buwah,Raya,buah ni ambotik buah pepaya
buah,kibul,,,
buah,maposo,,Verb,
buah,pisak,,,
buah,poso,,,
buah,rayung,,,
buah bacang,ambasang,abbasaG,Noun,magatol ho na gotahni ambasang gatal kena getah buah bacang
buah delima,delima,dElima,Noun,
buah jengkol,jobang,,,
buah jengkol yang sudah berkecambah,jobang,jObaG,Noun,ra do ho mangan jobang? maukah kau makan jengkol yang sudah berkecambah?
buah kandis,handis,handis,Noun,buah handis domma  mabu buah kandis sudah masak
buah pala,pala,pala,Noun,
buah peria,paria,,,
buah pertama; bungaran,limbuah,limbuwah,Noun,limbuah ni banggal-banggal do buah yang pertama besar-besar
buah ram- butan,rambutan,rambutan,Noun,sonari bahat rambutan ijual halak sekarang banyak rambutan dijual orang
buah tangan,luah,,,
buah tangan; oleh- oleh,luah,luwah,Noun,inang mamboan luah hun tiga ibu membawa oleh-oleh dari pasar
buah yang sudah tua tetapi belum masak,maposo ,,,
buah; ,boras,bOras,Raya,"parlobei marbunga ase marboras, pb lebih dahulu berbunga baru berbuah,	(semua	ada aturannya);"
buah; biji buah; butir buah yang kecil-kecil (seperti butir padi dan jagung),kibul,kibul,Noun,
buah-buahan,bogar,bOgar,Noun,"adong bogar songon gadung, galuh ijuma ada buah pisang dan ubi di ladang"
buah-buahan yang tergantung,rayung,rayuG,Noun,rayung buah ni durian buah durian itu bergantungan
bual; membual; besar mulut,orngak,OrGa?,Idiom,orngak dassa ia i kodei ai dia membual di kedai itu
buang,allokkon,allOkkOn,Verb,allokkon hayu ai buang kayu itu;
buang,ambung,ambuG,Verb,"ambung boras	i	baen	adek	beras terbuang oleh adek; ; ; - parkan;"
buang,buang,buwaG,Verb,buang tompoh on! buang sampah ini!;  (orang yang dibuang);
buang,mallok,,,
buang air,moyoh,mOyOh,Verb,anggi moyoh ipodohman adik buang air di tempat tidur
buang air besar,martois ,,,
buang; ,mallok,mal:ok,Verb,"toppah ai	mallokkon!	buangkan sampah itu!"
buangan,buangan,,Verb,
buangan,buangan ,,,
buangkan,ambunghon,,Verb,
buangkan,ambunghon ,,,
buangkan,mallokkon,mal:ok,Verb,"toppah ai	mallokkon!	buangkan sampah itu!"
buangkan,mallokkon ,,,
buat,bahen,,,
buat,tombei,tObbey,Verb,: manombei rumah membuat rumah
buat; lakukan,bahen,baEn,Verb,aha na i bahen ni apa yang telah diperbuatnya;
buaya,buaya,buwaya,Raya,
bubu,bubu,bubu,Raya,amang manjual bubu na baru nibuat inang ayah menjual bubu yang baru dibuat oleh ibu;
bubuk,ombuk,Ombug,Noun,ombuk jogul na i duda ini bubuk jagung yang ditumbuk
bubung,bungkulan,buGkulan,Noun,bungkulan ni bagas bubungan rumah
bubur,burbur,bubbur,Noun,burbur ni dayok bubur ayam
bubur,harei,harEy,Noun,boli lobei harei kasang ijo ai! beli dulu bubur kacang hijau itu!
buih,lumoh,lumoh,Noun,"gelembung- gelembung kecil pada permukaan barang cair (seperti pada air, sabun, dan sebagai- nya);"
buih,ugup,ugup,Noun,bahat ugup ni bagod on tuak ini banyak buih- nya
bujuk,anju,anju,Verb,anju ma anggimu bujuklah adikmu; ;
bujuk,elek,ElE?,Raya,
bujuk,hesek,,,
bujuk,ipuk,ipuk,Verb,
bujuk,ojur,Ojur,Verb,"ojur ia ase na ra missir hu sikolah bujuk dia biar mau pergi ke sekolah; ; anjuran; 	yang membujuk;"
bujuk,pujuk,puju?,Noun,
bujuk rayu,unggun,uggun,Noun,bujukan terus-menerus yang di- lakukan orang tua kepada anak perempuan untuk segera me- nikah
"bujuk; manghesek		v	membujuk",hesek,hEsEk,Noun,"sabar do ia manghesek rossi saud	dia	sabar		membujuk sampai berhasil"
bujukan,ojuran,,Noun,
bujukan,ojuran ,,,
buka,buha,buha,Raya,
buka,ungkap,,,
bukan,lang,laG,Adverb,
bukan,nada,nada,Adverb,"nada hubuat bukan aku yang ambil nadom  [nadOm]  a	kuat   hati:"
bukan,sedo,sEdo,Adverb,sedo sonai mampodear ase dear bukan begitu membuatnya agar cantik
bukan,song,sOG,Adverb,song ahu na mambuat tarompahmu ai bukan aku yang mengambil selopmu itu
bukit,buhit,buhit,Noun,pusuk buhit
bukit,buntu,buttu,Raya,i buntu do ianan ni sidea di bukit tempat mereka;
bukit barisan,urung,uruG,Noun,
bulan,bulan,bulan,Raya,rondang bulan bulan purnama
bulan,lingkar,,,
bulan,sipaha,sipaha,Noun,bani sipaha dua hanami pariama kami panen pada bulan dua
bulan ,lingkar,liGkar,Noun,pas bani bulan lingkar laho ma sidea manohu tulang ni tepat pada bulan 12 mereka pergi mengunjungi pamannya
bulat,balging,balgiG,Adjective,
bulat,buta,buta,Adjective,buta matani
bulat,gemong,,,
bulat,gepong,gEpOG,Adjective,
bulat,gopong,gOpOG,Raya,donia on gopong do gan nini turi-turian ni guru nami dunia ini bulat telur menurut cerita guru kami;
bulat,hemong,hEmOG,Adjective,hemong bahen songon guli! bulat buat seperti guli!
bulat,lemong,lEmoG,Adjective,tanohon lemong songon bola bumi bulat seperti bola
bulat,pulur,pulur,Adjective,mapulur kue
bulat,remes,,,
bulat kecil,genong,gEnOG,Adjective,lada ai genong tene lada itu bulat kecil
bulat tanpa berlubang-lubang,remes,rEmEs,Adjective,
bulatan,hagemongon ,,,
bulir padi yang,mapap,,,
bulir padi yang hampa,mapap,mapap,Noun,kosong
bulu,ambulu,abbulu,Noun,ambulu ni tanganni alus-alus bulu di tangannya halus-halus;  bulu (ayam dsb) yg telah dipotong: eda mangambului dayok kakak mencabuti bulu ayam;
bulu,jangot,jaGot,Noun,jangot ni dayok bulu ayam
bulu ekor kuda,rabis,,,
bulu landak,lundu,lundu,Noun,
bulu roma,taruitui,taruituy,Noun,
buluh,lampon,,,
buluh; bambu; aur,lampon,lappOn,Noun,inang mambuat bah pakon lampon ibu mengambil air dengan buluh
bumbung,hidingan,,,
bumbung tempat tuak,hidingan,hidiGan,Noun,buat lobei hujon hidingan ai ase maragat au! ambil dulu ke mari bumbung tempat tuak itu supaya menyadap nira saya!
buncit,leneng,lEnEG,Adjective,boltok na leneng perut yang buncit
bundaran,halouhou,halOwhOw,Noun,halouhou ai bolak do tongon bundaran itu lebar betul
bunga,bunga,buGa,Raya,isuan anggi bunga on ditanam adik bunga ini
bunga,lampudung,,,
bunga mawar,molur,mOlur,Noun,molur marum tumang bunga mawar harum sekali
bunga padi,runsang,,,
bunga padi yang mekar,runsang,russaG,Noun,
bunga petai,lampudung,lappuduG,Noun,pb ulang songon lampudung jangan seperti bunga petai (tidak berpen- dirian)
bunga pinang arekelapa atau sebangsa pohopalem,mayang,mayaG,,
bungkuk,gumuk,gumuk,Adjective,halak na gumuk modom matui pipit orang bungkuk tidur matanya terpicing
bungkuk,gundang,guddaG,Adjective,halak na gundang pardalani untuk orang yang bungkuk jalannya tunduk
bungkuk,lenduk,lEdduk,Adjective,anggo domma matua somal do lenduk kalau sudah tua biasanya bungkuk
bungkuk,sanduhu,,,
bungkuk sabut,sanduhu,sadduhu,Adjective,"halakni pe sanduhu aha lang pardalanni gundung orangnya pun bungkuk sabut, apakah tidak bungkuk jalannya"
bungkuk sedikit,dengat,,,
bungkus,balut,balut,Noun,
bungkus,bungkus,bukkus,Noun,bungkus gulei on bungkus daging ini;
bungkus,hopol,,,
bungkus,tumtum,tuttum,Noun,: mase itumtum bani hortas? mengapa dibungkus pakai kertas?; 
bungkus; ,hopol,hOpOl,Noun,manghopoli indahan inang ibu membungkus nasi
bungkusan yang,puntal,,,
bungkusan yang menggelembung,puntal,puntal,Noun,
bunting,rindih,rindih,Noun,
buntu,jut,,,
bunuh,benuh,bEnuh,Verb,benuh aili ai bunuh anjing hutan itu
bunuh,bunuh,bunuh,Raya,;  membunuhan;
bunyi,bop,,,
bunyi,dajar,dajar,Noun,
bunyi,dengek,,,
bunyi,gojog,,,
bunyi,goro,,,
bunyi,jap,,,
bunyi (suara sekop ketika mengorek tanah),jap,jap,Noun,
bunyi bedil,datob,,,
bunyi benda yang,nger,,,
bunyi benda yang terpelanting,nger,GEr,Noun,
bunyi dedaunan,daras,,,
bunyi dedaunan kering yang tersentuh,daras,daras,Noun,
bunyi hujan,hasak,,,
bunyi hujan yang turun ke bumi,hasak,hasak,Noun,
bunyi lenguh,orong,,,
bunyi lenguh (karena sakit),orong,OrOG,Noun,
bunyi letusan bedil,datob,datOb,Noun,
bunyi orang melompat ke air,jaur,,,
bunyi pelepah dihembus angin,jar,,,
bunyi petir yang,dotok,,,
bunyi petir yang berulang-ulang,dotok,dOtO?,Noun,
bunyi piring jatuh,doran,,,
bunyi ranting patah,depek,dEpE?,Noun,
bunyi semak atau rumput terbakar,lotup,,,
bunyi semak atau rumput yang terbakar,lotup,lOtup,Noun,
bunyi suara,dorong,,,
bunyi suara buang,durup,,,
bunyi suara buang air kecil,durup,durup,Noun,
bunyi suara gong duruk [duru?] v tersungkur,duruk,duru?,Noun,"duruk hu	naporan	tersungkur	ke"
bunyi suara lidi,dosik,,,
bunyi suara lidi yang ducambukkan,dosik,dOsi?,Noun,
bunyi suara nyamuk,dorong,dOrOG,Noun,
bunyi yang keluar dari,eab,,,
bunyi yang keluar dari mulut karena kenyang,eab,Eab,Noun,
buru,buru,buru,Raya,
buru,simbut,,,
buru-buru,simbut,sibbut,Adjective,mase min simbut ham? mengapa engkau begitu buru-buru?
buruk,buruk,buru?,Adjective,buruk hiou ni kain ini buruk
buruk,dorsa,dOrsa,Adjective,dorsa dassa parbahenanmu buruk sekali tingkah lakumu;
buruk,mumuk,mumu?,Adjective,kaen ai domma mukmuk kain itu sudah buruk
burung,birikbirik,,,
burung,hampilis,,,
burung,langkupa,,,
burung,sibahuei,,,
burung beo,hiung,,,
burung beo; burung tiung,hiung,hiyuG,Noun,hiung nise do na maluah on? beo siapa yang lepas ini?
burung- burung yang biasa bergerombol,birikbirik,biri?biri?,Noun,
burung enggang,onggang,OGgaG,Noun,padung ni onggang baggal paruh burung enggang besar
burung hantu,langkupa,lakkupa,Noun,bodari do langkupa puho burung hantu bangun malam hari
burung hantu,sipahuk,sipahuk,Noun,
burung kecil,binsot,bissOt,Noun,
burung kecil,bisbis,bisbis,Noun,etek soramu tumang songon bisbis kecil sekali suaramu seperti burung bisbis
burung merbuk,sibahuei,sibahuwey,Noun,
burung murai,bonsala,bOssala,Noun,
burung perkutut,giti,giti,Noun,
burung pipit,dingis,diGis,Noun,bahat dingis i juma manangani omei banyak burung pipit di ladang memakani padi
burung puyuh,leto,lEto,Noun,i huta nami bahat do leto di kampung kami banyak burung puyuh
busa,guboh,,,
busa; buih,guboh,gubOh,Noun,sabun na jenges guboh pasti bahat sabun yang bagus  busanya pasti banyak
busuk,asik,asi?,Adjective,aha na asik ai
busuk,basou,basOw,Adjective,domma basou ambotik on sudah busuk pepaya ini
busuk,burut,burut,Adjective,burut ni untei jeruk ini busuk
busuk,damuk,damu?,Adjective,hayu ai domma damuk kayu itu sudah busuk
"busuk  rusak dan berbau tidak sedap (tentang buah, daging, dan sebagainya)",masik,masik,Adjective,masik use pisang onde halani dokah to iporam pisang itu menjadi busuk karena lama sekali diperam;
busuk rusak dan,masik,,,
busung,busung,busuG,Raya,
busur,sior,,,
buta,pitung,pituG,Adjective,
buta,rojam,rOjam,Adjective,penedek- nedek ai domma rojam peminta-minta itu sudah buta
buta sebelah,peltou,,,
buta sebelah mata,peltou,pEltow,Adjective,peltou matani hona tembak matanya buta sebelah karena kena tembak
butah,butah,,,
butah (ucapan untuak mengusir babi),butah,butah,Verb,
butir,butir,butir,Noun,tolur tolu butir tiga butir telur
butir padi yang luru,lajur,,,
butir padi yang lurus,lajur,lajur,Noun,ganjang tumang do lanjur ni omei ai anjuha porugi panjang sekali butir padi itu  dan beruas pula
buyung,gusi,gusi,Raya,wadah penampungan tuak atau air di rumah
cabang,tupang,tupaG,Noun,
cabang kayu,bangor,,,
cabang kayu,punggur,,,
cabe,lansina,lassina,Noun,bahatdo lansina i huta nami banyak cabe di kampung kami
cabik,ribak,ribag,Noun,
cabut,ombik,,,
cabut,orbat,Orbat,Verb,orbat bonani gadung ai! cabut pokok ubi itu; ; 
cabut,put,,,
cabut,salungkar,salukkar,Verb,bongkar: salungkar gadung ai! cabut ubi itu!
cabut,tompu,tOppu,Verb,
cabut,umpat,uppat,Verb,
cabut (mem- bongkar anak pisang untuk ditanam),ombik,Ombi?,Noun,"inang mangatahon bannami ombik anakni galuh, ase isuan hu juma ibu menyuruh kami mencabut anak pisang untuk ditanam di ladang"
cacar,sanggul,saggul,Noun,campak
cacar,sasar,sasar,Noun,
cacing,goya,gOya,Raya,
cacing,sasing,sasiG,Noun,
cacing perut,labilabi,labilabi,Noun,bahat do labilabi i bagas  boltok ni babui ai banyak cacing di perut babi itu
cair,lala,lala,Adjective,lembek berair;
cair,rotas,rOtas,,: domma rotas es ai sudah cair es itu
cairan,lalaon,lalaOn,Noun,larutan;
cak dulu,ondi,Ondi,Particle,"ondi etek pe au, sonari domma banggal dulu aku masih kecil sekarang sudah besar"
cak emoh,ehi,,,
cak maaf,suali,,,
cak molor,mulur,,,
cak pakai,pakei,pakey,Verb,; ; ;
cak sudahlah,ehe,,,
cakap,gesek,gEsE?,Adjective,
cakap kotor,sapal,sapal,Verb,ulang ho sapal i jon! jangan kau cakap kotor di sini!
cakar,haerhon,haErhOn,Noun,
cakar,raok,raO?,Noun,
cakar,rarik,rari?,Noun,rarik huting
cakar untuk mem,sisir,,,
cakar untuk mem- bersihkan sawah,sisir,sisir,Noun,olap lobei sisir hu pansa ambil dulu cakar ke pondok
campak,pistak,pista?,Verb,na pistak daoh hur jon tercampak  jauh ke sana
campur,aer,aer,Verb,aer kopi pangkon dadih campur kopi dengan susu
campur,agu,agu,Verb,agu kopi pangkon gula campur kopi dengan gula
campur,binsar,bissar,Verb,binsar dadih pakon kopi campurlah kopi dengan susu
campur,buliga,buliga,Verb,
campur,sampur,sappur,Verb,"ulang sampur ibahen ho boras ai, da! jangan kau campur beras itu, ya!"
campur,saor,saOr,Verb,
campur,sotek,sotEk,Adjective,aduk: sotek lobei dongkei na dob itaktaki in pakon bituhani! campur dulu daging yang  sudah dicincang itu dengan ususnya!
campur,tombur,tObbur,Verb,"manombur		v	mencampur: manombur	bah		ni		tambar mencampur air obat; ; "
campur,uram,uram,Noun,
campur baur,hulimut,hulimut,Verb,dayok ai hulimut dop ipaluah humbani harangni ayam itu campur baur sesudah dilepas dari kandangnya
campuran,ragum,ragum,Noun,buatma lobe ragum ni tambar ai ambil dulu campuran untuk obat itu
campuran tuak,raru,,,
campuran untuk membuat tuak,raru,raru,Noun,
candu,sandu,saddu,Noun,sandu ia mangisop ia candu merokok sanduduk   [sadduduk]   n  sejenis
canggung,haduhat,haduhat,Adjective,
canggung,jaluk,jaluk,Adjective,jaluk huahap hundul ijon saya merasa canggung duduk di sini
canggung,tuda,,,
cangkir,garung,garuG,Noun,
cangkir,sangkir,sakkir,Noun,tolu sangkir tes teh tiga cangkir
cangkir,sarip,,,
cangkir (dari tempurung kelapa),sarip,sarip,Noun,enak do daini bagod minum humbani sarib enak rasanya minum tuak dari tempurung kelapa
cangkul,ombak,Omba?,Noun,
cangkul,pangkur,pak:ur,Noun,; ; ;
cangkul,sangkul,sakkul,Noun,: tanoh ai isangkul parjuma tanah itu dicangkul petani
cangkul kecil,hori,hori,Noun,
cantik,gandal,gandal,Adjective,danak ai gandal tumang anak itu cantik sekali
cantik,jagiah,jagiyah,Adjective,jagiah halakni songon bintang na rondang orangnya cantik seperti bintang yang bersinar
cantik,jenges,jEGEs,Adjective,"; 	paling cantik"
cantik,laing,lai:G,Adjective,anak boru laingan anak perempuan yang cantik
cap,tokan,tokan,Noun,stempel; ; menstempel
"capah kecil yang digunakan untuk menggiling cabai, dan lain-lain",lagan,lagan,Noun,
